M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.14,0.3,2649.88,1.33733e-10,0,26.6992,576.346,2008.92,35.0755,0,0,2.83138,0.00305002,0,0,21.1300000000001
0.15,0.3,2642.32,9.9497e-11,0,25.4621,574.149,2007.81,32.1169,0,0,2.78639,0.0030914,0,0,13.5700000000002
0.16,0.3,2636.72,7.6941e-11,0,24.4676,572.508,2007.13,29.8207,0,0,2.78914,0.00313979,0,0,7.9699999999998
0.165249,0.3,2634.5,6.79499e-11,0,24.0394,571.886,2006.93,28.8402,0,0,2.80678,0.00316787,0,0,5.75
0.17,0.3,2632.91,6.11574e-11,0,23.7065,571.46,2006.84,28.0698,0,0,2.83121,0.00319652,0,0,4.15999999999985
0.175467,0.3,2631.55,5.46539e-11,0,23.3882,571.102,2006.88,27.307,0,0,2.86837,0.0032306,0,0,2.80000000000018
0.18,0.3,2630.77,5.00166e-11,0,23.1777,570.92,2007.01,26.761,0,0,2.9059,0.00326082,0,0,2.01999999999998
0.19,0.3,2630.16,4.134e-11,0,22.8886,570.948,2007.53,25.7787,0,0,3.00784,0.00334216,0,0,1.40999999999985
0.2,0.3,2630.91,3.4134e-11,0,22.8484,571.547,2008.34,25.0381,0,0,3.13266,0.00347404,0,0,2.15999999999985
0.14,0.325,2645.19,1.75287e-10,0,26.5967,574.602,2009.19,32.395,0,0,2.39796,0.00308225,0,0,16.4400000000001
0.15,0.325,2638.54,1.30093e-10,0,25.305,572.65,2008.32,29.9051,0,0,2.35297,0.00312766,0,0,9.78999999999996
0.16,0.325,2633.8,9.95227e-11,0,24.2917,571.311,2007.82,28.0172,0,0,2.35572,0.00317706,0,0,5.05000000000018
0.165249,0.325,2632.03,8.76356e-11,0,23.8722,570.841,2007.72,27.2284,0,0,2.37336,0.00320745,0,0,3.2800000000002
0.17,0.325,2630.84,7.86876e-11,0,23.5598,570.53,2007.73,26.6164,0,0,2.39779,0.00323581,0,0,2.09000000000015
0.175467,0.325,2629.9,6.98156e-11,0,23.2815,570.317,2007.85,26.0131,0,0,2.43494,0.00326958,0,0,1.15000000000009
0.18,0.325,2629.48,6.33109e-11,0,23.1173,570.277,2008.02,25.5823,0,0,2.47247,0.00330243,0,0,0.730000000000018
0.19,0.325,2629.56,5.08371e-11,0,22.9726,570.597,2008.6,24.8136,0,0,2.57441,0.00338968,0,0,0.809999999999945
0.2,0.325,2630.9,3.99571e-11,0,23.1283,571.469,2009.35,24.2465,0,0,2.69924,0.0035267,0,0,2.15000000000009
0.14,0.35,2641.62,2.2175e-10,0,26.522,573.181,2009.56,30.3034,0,0,2.04943,0.00311339,0,0,12.8699999999999
0.15,0.35,2635.8,1.6206e-10,0,25.2111,571.513,2008.85,28.2199,0,0,2.00444,0.00315872,0,0,7.05000000000018
0.16,0.35,2631.86,1.22696e-10,0,24.2288,570.444,2008.5,26.6796,2.03763e-31,0,2.00719,0.0032104,0,0,3.11000000000013
0.165249,0.35,2630.49,1.07405e-10,0,23.8469,570.095,2008.47,26.0458,0,0,2.02483,0.0032403,0,0,1.73999999999978
0.17,0.35,2629.63,9.55951e-11,0,23.5821,569.898,2008.54,25.5559,0,0,2.04926,0.00326788,0,0,0.880000000000109
0.175467,0.35,2629.06,8.3681e-11,0,23.3732,569.833,2008.69,25.0746,0,0,2.08642,0.00330389,0,0,0.309999999999945
0.18,0.35,2628.92,7.48775e-11,0,23.2771,569.908,2008.87,24.7334,0,0,2.12394,0.00333862,0,0,0.170000000000073
0.19,0.35,2629.53,5.74032e-11,0,23.3125,570.469,2009.39,24.1335,0,0,2.22588,0.0034217,0,0,0.7800000000002
0.2,0.35,2631.29,4.27415e-11,0,23.6759,571.529,2010.02,23.709,0,0,2.35071,0.00355679,0,0,2.53999999999996
0.14,0.383418,2638.22,2.85302e-10,0,26.48,571.738,2010.1,28.2196,0,0,1.67243,0.00315017,0,0,9.4699999999998
0.15,0.383418,2633.4,2.03942e-10,0,25.2093,570.419,2009.55,26.592,0,0,1.62744,0.00319531,0,0,4.65000000000009
0.16,0.383418,2630.38,1.51078e-10,0,24.3369,569.66,2009.33,25.4158,0,0,1.63019,0.00324628,0,0,1.63000000000011
0.165249,0.383418,2629.44,1.30356e-10,0,24.0383,569.454,2009.36,24.9373,1.89936e-31,0,1.64783,0.00327587,0,0,0.690000000000055
0.17,0.383418,2628.94,1.13975e-10,0,23.8614,569.403,2009.43,24.5695,0,0,1.67225,0.00330479,0,0,0.190000000000055
0.175467,0.383418,2628.75,9.72603e-11,0,23.7651,569.496,2009.56,24.2125,0,0,1.70941,0.00333947,0,0,0
0.18,0.383418,2628.87,8.49161e-11,0,23.7691,569.689,2009.7,23.9635,0,0,1.74694,0.00337165,0,0,0.119999999999891
0.19,0.383418,2629.97,6.10303e-11,0,24.0399,570.472,2010.07,23.5419,0,0,1.84888,0.00344604,0,0,1.2199999999998
0.2,0.383418,2632.05,4.23438e-11,0,24.6383,571.686,2010.49,23.2669,0,0,1.9737,0.00356604,0,0,3.30000000000018
0.14,0.4,2636.99,3.15029e-10,0,26.4914,571.188,2010.37,27.4251,0,0,1.51319,0.00316557,0,0,8.23999999999978
0.15,0.4,2632.62,2.22703e-10,0,25.2665,570.023,2009.88,25.9854,0,0,1.4682,0.00321081,0,0,3.86999999999989
0.16,0.4,2629.98,1.6293e-10,0,24.469,569.388,2009.7,24.9529,0,0,1.47095,0.00326126,0,0,1.23000000000002
0.165249,0.4,2629.22,1.39189e-10,0,24.2181,569.253,2009.72,24.5349,1.89936e-31,0,1.48859,0.00329082,0,0,0.4699999999998
0.17,0.4,2628.86,1.2039e-10,0,24.0874,569.261,2009.78,24.2155,0,0,1.51302,0.00331849,0,0,0.110000000000127
0.175467,0.4,2628.8,1.01359e-10,0,24.046,569.414,2009.88,23.9083,0,0,1.55018,0.00335173,0,0,0.0500000000001819
0.18,0.4,2629.02,8.74107e-11,0,24.096,569.65,2009.99,23.6964,0,0,1.5877,0.0033822,0,0,0.269999999999982
0.19,0.4,2630.28,6.10165e-11,0,24.465,570.509,2010.27,23.3466,0,0,1.68964,0.00345227,0,0,1.5300000000002
0.2,0.4,2632.45,4.10502e-11,0,25.1492,571.771,2010.58,23.1298,0,0,1.81447,0.00356176,0,0,3.69999999999982
0.14,0.5,2633.76,4.35494e-10,0,27.1159,569.355,2011.74,24.7376,0,0,0.802392,0.0032328,0,0,5.01000000000022
0.15,0.5,2631.24,2.86153e-10,0,26.3063,568.842,2011.31,24.0144,0,0,0.757402,0.0032726,0,0,2.48999999999978
0.16,0.5,2630.02,1.91099e-10,0,25.956,568.743,2011.03,23.5216,0,0,0.760155,0.00331146,0,0,1.26999999999998
0.165249,0.5,2629.83,1.54189e-10,0,25.9321,568.865,2010.91,23.3349,0,0,0.777792,0.00333337,0,0,1.07999999999993
0.17,0.5,2629.89,1.26403e-10,0,25.9946,569.07,2010.82,23.2009,1.7854e-31,0,0.80222,0.00335353,0,0,1.13999999999987
0.175467,0.5,2630.22,9.98763e-11,0,26.156,569.412,2010.73,23.082,0,0,0.83938,0.00337739,0,0,1.4699999999998
0.18,0.5,2630.68,8.16896e-11,0,26.3551,569.778,2010.66,23.0084,0,0,0.876908,0.00340029,0,0,1.92999999999984
0.19,0.5,2632.25,5.10012e-11,0,26.981,570.845,2010.53,22.9111,0,0,0.978846,0.00345174,0,0,3.5
0.2,0.5,2634.47,3.10664e-11,0,27.8148,572.234,2010.43,22.8823,0,0,1.10367,0.00352692,0,0,5.7199999999998
0.14,0.6,2633.98,4.46686e-10,0,28.3657,568.856,2012.48,23.9111,0,0,0.357756,0.00326067,0,0,5.23000000000002
0.15,0.6,2632.19,2.78962e-10,0,27.8256,568.642,2011.9,23.511,0,0,0.312766,0.00328955,0,0,3.44000000000005
0.16,0.6,2631.41,1.75845e-10,0,27.6596,568.777,2011.4,23.255,0,0,0.315519,0.00331855,0,0,2.65999999999985
0.165249,0.6,2631.35,1.37701e-10,0,27.6974,568.99,2011.16,23.1645,0,0,0.333156,0.00333582,0,0,2.59999999999991
0.17,0.6,2631.48,1.09988e-10,0,27.796,569.261,2010.95,23.1031,0,0,0.357585,0.00335225,0,0,2.73000000000002
0.175467,0.6,2631.83,8.45046e-11,0,27.9774,569.663,2010.74,23.0526,0,0,0.394744,0.00337173,0,0,3.07999999999993
0.18,0.6,2632.28,6.76777e-11,0,28.177,570.068,2010.58,23.0244,0,0,0.432273,0.00338996,0,0,3.5300000000002
0.19,0.6,2633.74,4.08136e-11,0,28.7582,571.187,2010.26,22.9965,0,0,0.53421,0.00343218,0,0,4.98999999999978
0.2,0.6,2635.78,2.43262e-11,0,29.502,572.602,2010.01,23.0029,0,0,0.659035,0.00348806,0,0,7.0300000000002
0.14,0.7,2635.2,4.07865e-10,0,29.6562,568.84,2012.77,23.8446,2.71957e-31,0,0.0853532,0.00326533,0,0,6.44999999999982
0.15,0.7,2633.61,2.49027e-10,0,29.1869,568.761,2012.04,23.5797,0,0,0.0403632,0.00328884,0,0,4.86000000000013
0.16,0.7,2632.87,1.53017e-10,0,29.028,568.989,2011.4,23.4074,0,0,0.0431162,0.00331306,0,0,4.11999999999989
0.165249,0.7,2632.78,1.18363e-10,0,29.0493,569.235,2011.09,23.3446,0,0,0.0607535,0.00332813,0,0,4.0300000000002
0.17,0.7,2632.87,9.3613e-11,0,29.1235,569.529,2010.83,23.3004,1.7854e-31,0,0.0851818,0.00334247,0,0,4.11999999999989
0.175467,0.7,2633.17,7.12528e-11,0,29.2678,569.951,2010.56,23.2617,0,0,0.122341,0.00335962,0,0,4.42000000000007
0.18,0.7,2633.55,5.66867e-11,0,29.4312,570.367,2010.35,23.2377,0,0,0.15987,0.0033748,0,0,4.80000000000018
0.19,0.7,2634.84,3.40677e-11,0,29.9165,571.492,2009.96,23.2051,0,0,0.261807,0.00341465,0,0,6.09000000000015
0.2,0.7,2636.69,2.04135e-11,0,30.555,572.902,2009.65,23.1932,1.248e-31,0,0.386633,0.00346517,0,0,7.94000000000005
0.14,0.72,2635.48,3.98292e-10,0,29.893,568.864,2012.8,23.8787,0,0,0.0491187,0.00326487,0,0,6.73000000000002
0.15,0.72,2633.91,2.42612e-10,0,29.4241,568.802,2012.05,23.6264,0,0,0.00412876,0.00328782,0,0,5.15999999999985
0.16,0.72,2633.15,1.48682e-10,0,29.2573,569.04,2011.38,23.4596,0,0,0.00688174,0.00331149,0,0,4.40000000000009
0.165249,0.72,2633.05,1.14865e-10,0,29.2721,569.289,2011.06,23.3976,1.89936e-31,0,0.0245191,0.00332617,0,0,4.30000000000018
0.17,0.72,2633.13,9.07689e-11,0,29.3394,569.585,2010.8,23.3531,1.7854e-31,0,0.0489473,0.0033402,0,0,4.38000000000011
0.175467,0.72,2633.4,6.90383e-11,0,29.4748,570.008,2010.52,23.3132,0,0,0.0861068,0.00335705,0,0,4.65000000000009
0.18,0.72,2633.78,5.49043e-11,0,29.6305,570.424,2010.31,23.2876,0,0,0.123635,0.00337178,0,0,5.0300000000002
0.19,0.72,2635.03,3.30213e-11,0,30.0974,571.548,2009.91,23.25,0,0,0.225573,0.00341137,0,0,6.2800000000002
0.2,0.72,2636.84,1.98335e-11,0,30.7172,572.955,2009.59,23.2316,0,0,0.350398,0.00346119,0,0,8.09000000000015
0.14,0.75,2635.92,3.83701e-10,0,30.231,568.911,2012.82,23.9485,0,0,0.00656637,0.00326368,0,0,7.17000000000007
0.15,0.75,2634.34,2.3311e-10,0,29.7578,568.869,2012.04,23.7086,2.34364e-31,0,-0.0384236,0.00328597,0,0,5.59000000000015
0.16,0.75,2633.56,1.42463e-10,0,29.5764,569.118,2011.35,23.5451,0,0,-0.0356706,0.00330895,0,0,4.80999999999995
0.165249,0.75,2633.44,1.09915e-10,0,29.5807,569.37,2011.02,23.4822,0,0,-0.0180333,0.00332312,0,0,4.69000000000005
0.17,0.75,2633.5,8.67821e-11,0,29.6373,569.668,2010.75,23.4358,0,0,0.00639494,0.00333679,0,0,4.75
0.175467,0.75,2633.75,6.59685e-11,0,29.7595,570.092,2010.46,23.3926,1.66588e-31,0,0.0435544,0.00335327,0,0,5
0.18,0.75,2634.1,5.24571e-11,0,29.9038,570.508,2010.24,23.3637,0,0,0.0810829,0.00336752,0,0,5.34999999999991
0.19,0.75,2635.3,3.15946e-11,0,30.3445,571.63,2009.82,23.3171,0,0,0.18302,0.0034065,0,0,6.55000000000018
0.2,0.75,2637.07,1.9056e-11,0,30.9378,573.031,2009.5,23.2884,0,0,0.307846,0.00345557,0,0,8.32000000000016
0.14,0.8,2636.67,3.59624e-10,0,30.748,569.01,2012.83,24.1014,0,0,-0.0295086,0.00326068,0,0,7.92000000000007
0.15,0.8,2635.06,2.17897e-10,0,30.2588,568.994,2012.01,23.8676,0,0,-0.0744985,0.0032822,0,0,6.30999999999995
0.16,0.8,2634.22,1.32923e-10,0,30.0484,569.251,2011.29,23.6991,0,0,-0.0717456,0.00330449,0,0,5.4699999999998
0.165249,0.8,2634.06,1.02448e-10,0,30.0345,569.506,2010.94,23.6308,0,0,-0.0541082,0.00331792,0,0,5.30999999999995
0.17,0.8,2634.09,8.08482e-11,0,30.0735,569.805,2010.65,23.5783,0,0,-0.02968,0.00333113,0,0,5.34000000000015
0.175467,0.8,2634.29,6.14638e-11,0,30.1745,570.228,2010.35,23.527,0,0,0.00747946,0.00334714,0,0,5.53999999999996
0.18,0.8,2634.61,4.89029e-11,0,30.3007,570.642,2010.12,23.4905,0,0,0.045008,0.0033609,0,0,5.86000000000013
0.19,0.8,2635.73,2.95526e-11,0,30.7015,571.758,2009.7,23.4264,0,0,0.146945,0.00339889,0,0,6.98000000000002
0.2,0.8,2637.42,1.79596e-11,0,31.255,573.148,2009.36,23.3789,0,0,0.271771,0.00344708,0,0,8.67000000000007
0.14,0.85,2637.44,3.36654e-10,0,31.2086,569.127,2012.83,24.2837,0,0,-0.0104996,0.0032569,0,0,8.69000000000005
0.15,0.85,2635.77,2.03801e-10,0,30.6971,569.127,2011.96,24.0424,0,0,-0.0554896,0.00327787,0,0,7.01999999999998
0.16,0.85,2634.87,1.24431e-10,0,30.4558,569.385,2011.22,23.8594,2.03763e-31,0,-0.0527366,0.00329989,0,0,6.11999999999989
0.165249,0.85,2634.68,9.58996e-11,0,30.4241,569.639,2010.86,23.7821,0,0,-0.0350992,0.00331276,0,0,5.92999999999984
0.17,0.85,2634.66,7.57126e-11,0,30.4461,569.937,2010.57,23.721,0,0,-0.010671,0.00332564,0,0,5.90999999999985
0.175467,0.85,2634.83,5.76153e-11,0,30.5274,570.357,2010.25,23.6593,0,0,0.0264884,0.00334135,0,0,6.07999999999993
0.18,0.85,2635.11,4.58998e-11,0,30.6372,570.769,2010.02,23.6142,0,0,0.064017,0.00335487,0,0,6.36000000000013
0.19,0.85,2636.16,2.78584e-11,0,31.0026,571.876,2009.58,23.5306,0,0,0.165954,0.00339203,0,0,7.40999999999985
0.2,0.85,2637.78,1.70611e-11,0,31.5215,573.253,2009.24,23.4638,0,0,0.29078,0.00343954,0,0,9.0300000000002
0.14,0.9,2638.26,3.15289e-10,0,31.6173,569.255,2012.8,24.4817,0,0,0.0954937,0.00325266,0,0,9.51000000000022
0.15,0.9,2636.53,1.91044e-10,0,31.0807,569.264,2011.9,24.2232,0,0,0.0505037,0.00327333,0,0,7.7800000000002
0.16,0.9,2635.55,1.16915e-10,0,30.809,569.517,2011.15,24.0197,0,0,0.0532567,0.00329531,0,0,6.80000000000018
0.165249,0.9,2635.32,9.01725e-11,0,30.7603,569.769,2010.78,23.9312,0,0,0.070894,0.00330771,0,0,6.57000000000016
0.17,0.9,2635.27,7.12651e-11,0,30.7668,570.063,2010.48,23.86,0,0,0.0953222,0.00332043,0,0,6.51999999999998
0.175467,0.9,2635.39,5.43167e-11,0,30.8302,570.479,2010.16,23.7868,0,0,0.132482,0.00333587,0,0,6.63999999999987
0.18,0.9,2635.64,4.33454e-11,0,30.9253,570.887,2009.92,23.7322,0,0,0.17001,0.00334931,0,0,6.88999999999987
0.19,0.9,2636.63,2.64365e-11,0,31.2594,571.984,2009.48,23.6285,0,0,0.271948,0.00338587,0,0,7.88000000000011
0.2,0.9,2638.18,1.63124e-11,0,31.7483,573.349,2009.14,23.5428,0,0,0.396773,0.0034328,0,0,9.42999999999984
0.14,0.95,2639.22,2.95719e-10,0,31.9795,569.389,2012.77,24.6859,0,0,0.39637,0.00324812,0,0,10.4699999999998
0.15,0.95,2637.42,1.79611e-10,0,31.4174,569.4,2011.85,24.4036,0,0,0.35138,0.00326879,0,0,8.67000000000007
0.16,0.95,2636.37,1.10281e-10,0,31.1167,569.645,2011.07,24.1759,0,0,0.354133,0.00329083,0,0,7.61999999999989
0.165249,0.95,2636.1,8.51616e-11,0,31.0525,569.893,2010.71,24.0751,1.89936e-31,0,0.37177,0.0033029,0,0,7.34999999999991
0.17,0.95,2636.02,6.74025e-11,0,31.0449,570.183,2010.4,23.9931,0,0,0.396198,0.00331546,0,0,7.26999999999998
0.175467,0.95,2636.11,5.14734e-11,0,31.0922,570.594,2010.08,23.9078,0,0,0.433358,0.0033308,0,0,7.36000000000013
0.18,0.95,2636.32,4.11537e-11,0,31.1742,570.997,2009.84,23.8436,0,0,0.470886,0.00334415,0,0,7.57000000000016
0.19,0.95,2637.25,2.52292e-11,0,31.4807,572.084,2009.38,23.72,0,0,0.572824,0.00338017,0,0,8.5
0.2,0.95,2638.74,1.56788e-11,0,31.9435,573.437,2009.04,23.6159,0,0,0.697649,0.00342666,0,0,9.98999999999978
